movie_id,predictions
1335380,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0
29062594,1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 1
9252321,1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
13455076,1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
24165951,1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0
1925869,1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0
10799612,1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
28238240,1 0 1 0 1 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0
17124781,1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0
28207941,1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
19174305,1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
18392317,1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0
34420857,1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0
4039635,1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0
8034072,1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0
4016437,1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0
1520023,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0
24589422,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
35068740,1 0 0 1 1 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0
21132951,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
6575053,1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0
11990695,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
25807103,1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0
142423,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
5107196,1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0
6747334,1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0
8191245,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
35030619,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0
35764248,1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0
26393786,1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0
1373219,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
2311219,1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0
20533021,1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0
31083557,1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
